{1: 6, 2: 2, 5: 3, 10: 4, 50: 0, 100: 0, 200: 0, 500: 0, 1000: 0, 2000: 0, 5000: 1}
{1: 6, 2: 2, 5: 3, 10: 4, 50: 0, 100: 0, 200: 0, 500: 1, 1000: 0, 2000: 0, 5000: 1}
{1: 6, 2: 2, 5: 3, 10: 4, 50: 0, 100: 0, 200: 0, 500: 0, 1000: 1, 2000: 0, 5000: 1}
{1: 6, 2: 2, 5: 3, 10: 4, 50: 0, 100: 0, 200: 0, 500: 0, 1000: 1, 2000: 0, 5000: 1}
{1: 6, 2: 2, 5: 3, 10: 4, 50: 0, 100: 0, 200: 0, 500: 0, 1000: 1, 2000: 0, 5000: 1}
{1: 6, 2: 2, 5: 3, 10: 4, 50: 0, 100: 0, 200: 0, 500: 0, 1000: 1, 2000: 0, 5000: 1}
{1: 6, 2: 2, 5: 3, 10: 4, 50: 0, 100: 0, 200: 0, 500: 0, 1000: 0, 2000: 1, 5000: 1}
{1: 6, 2: 2, 5: 3, 10: 4, 50: 0, 100: 0, 200: 0, 500: 0, 1000: 1, 2000: 0, 5000: 1}
{1: 6, 2: 2, 5: 3, 10: 4, 50: 0, 100: 0, 200: 0, 500: 0, 1000: 1, 2000: 0, 5000: 1}
{1: 6, 2: 2, 5: 3, 10: 4, 50: 0, 100: 0, 200: 0, 500: 1, 1000: 1, 2000: 0, 5000: 1}
{1: 6, 2: 2, 5: 1, 10: 0, 50: 1, 100: 1, 200: 2, 500: 4, 1000: 1, 2000: 0, 5000: 1}
